ticker,issuer_cik,share_class_tickers,window_start_fy,window_end_fy,window_year_count,latest_fy,latest_ceo,latest_granted_usd,latest_cap_usd,window_granted_usd,window_cap_usd,company_tsr_idx,peer_tsr_idx,tsr_vs_peer,beat_peers,cap_to_granted_x,board_target_in_scope,board_target_stratum,board_target_featured_pct,board_target_metric_type,board_target_verification,source_accessions,flags
WFC,0000072971,WFC,2021,2025,5,2025,Mr. Scharf,94522642,136245977,196795831,305864182,347,196,151.0,True,1.44,True,S&P 100 Layer A,,discretionary_performance_year_award,PRIMARY_VERIFIED,0000072971-26-000200,
WDAY,0001327811,WDAY,2022,2026,5,2026,Carl Eschenbach,26031706,-17705405,282477729,302150062,77,125,-48.0,False,-0.68,True,S&P 500 findings extension,100,annual_cash_bonus_actual,PRIMARY_VERIFIED,0001104659-26-055687,CEO_TRANSITION
EXPE,0001324424,EXPE,2021,2025,5,2025,,17592584,70393447,341364795,296453365,215.72,138.27,77.4,True,4.0,False,,,,,0001324424-26-000022,CEO_TRANSITION
FLEX,0000866374,FLEX,2022,2026,5,2026,Revathi Advaithi,44391138,169414161,105905059,291326320,491,718,-227.0,False,3.82,True,S&P 500 findings extension,180.68,annual_cash_bonus_actual,PRIMARY_VERIFIED,0001308179-26-000365,
TMUS,0001283699,TMUS,2021,2025,5,2025,,50408096,63432371,205047320,289990047,156,112,44.0,True,1.26,False,,,,,0001193125-26-181884,CEO_TRANSITION
CAT,0000018230,CAT,2021,2025,5,2025,,22191496,82309936,135196833,285382279,346.12,189.72,156.4,True,3.71,False,,,,,0001308179-26-000358,CEO_TRANSITION
MU,0000723125,MU,2021,2025,5,2025,Sanjay Mehrotra,30940146,86570533,140434743,283382814,269.61,261.97,7.6,True,2.8,False,,,,,0000723125-25-000038,
KLAC,0000319201,KLAC,2021,2025,5,2025,Richard Wallace,25092254,34769252,108848591,283227512,489.42,277.82,211.6,True,1.39,False,,,,,0001193125-25-213294,
AMZN,0001018724,AMZN,2021,2025,5,2025,,2069861,13205807,220706246,277089824,142,,,,6.38,False,,,,,0001104659-26-041026,CEO_TRANSITION
AON,0000315293,AON,2021,2025,5,2025,Gregory C. Case,73742639,82231585,163147232,275412311,174,203,-29.0,False,1.12,False,,,,,0001193125-26-187428,
MSI,0000068505,MSI,2021,2025,5,2025,Gregory Q. Brown,34453481,-34855292,134482486,274675113,239.54,241.63,-2.1,False,-1.01,False,,,,,0001193125-26-139004,
APH,0000820313,APH,2021,2025,5,2025,R. Adam Norwitt.,22351288,141580126,77501125,271476539,432.58,236.57,196.0,True,6.33,False,,,,,0001104659-26-040688,
IRM,0001020569,IRM,2021,2025,5,2025,William L. Meaney,17047480,21943637,82469886,262916469,347.18,137.53,209.7,True,1.29,False,,,,,0001020569-26-000026,
MNST,0000865752,MNST,2021,2025,5,2025,,19282630,56281111,167592837,262709032,166,124,42.0,True,2.92,False,,,,,0001104659-26-035990,CEO_TRANSITION
VRT,0001674101,VRT,2021,2025,5,2025,Mr. Albertazzi,18311719,102015794,49985994,262300979,871.48,189.1,682.4,True,5.57,False,,,,,0001193125-26-174898,
XOM,0000034088,XOM,2021,2025,5,2025,D.W. Woods,32998628,60042706,173452782,262276549,356,228,128.0,True,1.82,False,,,,,0001193125-26-147614,
CVNA,0001690820,CVNA,2021,2025,5,2025,Mr. Garcia,8382555,110136005,36077397,261527074,176.18,150.08,26.1,True,13.14,False,,,,,0001690820-26-000024,
RTX,0000101829,RTX,2021,2025,5,2025,Christopher T. Calio,24846826,88622978,125304673,261494093,287.64,230.45,57.2,True,3.57,False,,,,,0001308179-26-000036,CEO_TRANSITION
C,0000831001,C,2021,2025,5,2025,Ms. Fraser,95757800,144786188,209003616,260868400,226.34,203.47,22.9,True,1.51,True,S&P 100 Layer A,,discretionary_incentive_dollars,PRIMARY_VERIFIED,0001206774-26-000185,CEO_TRANSITION
INTU,0000896878,INTU,2021,2025,5,2025,Sasan K. Goodarzi,36845552,61856382,152827435,259440780,264.44,268.74,-4.3,False,1.68,False,,,,,0000896878-25-000057,
PLD,0001045609,PLD,2021,2025,5,2025,Mr. Moghadam,24999873,80571565,173797493,257703083,147.42,137.53,9.9,True,3.22,False,,,,,0001193125-26-115132,
HWM,0000004281,HWM,2021,2025,5,2025,John C. Plant,70547718,134793953,126442197,254974014,728.18,230.45,497.7,True,1.91,False,,,,,0001104659-26-039940,CEO_TRANSITION
V,0001403161,V,2021,2025,5,2025,McInerney,31560660,55819305,168935393,253053635,176.94,245.77,-68.8,False,1.77,False,,,,,0001308179-25-000635,CEO_TRANSITION
COF,0000927628,COF,2021,2025,5,2025,Mr. Fairbank,64971137,94125501,172452644,251982723,268.21,203.47,64.7,True,1.45,True,S&P 100 Layer A,,discretionary_performance_year_award,PRIMARY_VERIFIED,0001193125-26-124131,
WMT,0000104169,WMT,2022,2026,5,2026,Doug McMillon,29240930,36488421,134596095,247975380,272.28,164.12,108.2,True,1.25,False,,,,,0001193125-26-173673,
UBER,0001543151,UBER,2021,2025,5,2025,Mr. Khosrowshahi,35595826,66651137,143467459,245838314,160.22,258.38,-98.2,False,1.87,False,,,,,0001308179-26-000125,
MCK,0000927653,MCK,2022,2026,5,2026,Brian S. Tyler,24213044,48925847,101745708,243897593,456.33,136.77,319.6,True,2.02,False,,,,,0000927653-26-000169,
MRVL,0001835632,MRVL,2022,2026,5,2026,Mr. Murphy,25064348,-69708823,140340331,243888992,156.47,293.24,-136.8,False,-2.78,False,,,,,0001104659-26-060253,
HLT,0001585689,HLT,2021,2025,5,2025,Mr. Nassetta,27674400,38013198,129007017,240588813,261.39,226.60,34.8,True,1.37,False,,,,,0001585689-26-000023,
INTC,0000050863,INTC,2021,2025,5,2025,Lip-Bu Tan,92990900,161645068,404303300,240297069,85.08,264.83,-179.8,False,1.74,True,S&P 100 Layer A,118.7,annual_cash_bonus_actual,PRIMARY_VERIFIED,0000050863-26-000066,CEO_TRANSITION
KO,0000021344,KO,2021,2025,5,2025,James Quincey,31208165,61649669,131659754,236525246,148,113,35.0,True,1.98,False,,,,,0001104659-26-028215,
AMP,0000820027,AMP,2021,2025,5,2025,Mr. Cracchiolo,30828468,33081532,131427801,236147532,272,203,69.0,True,1.07,False,,,,,0001104659-26-032725,
HCA,0000860730,HCA,2021,2025,5,2025,Hazen,26456606,78235064,106844713,236124415,296.34,148.36,148.0,True,2.96,False,,,,,0001193125-26-106142,
CB,0000896159,CB,2021,2025,5,2025,Evan G. Greenberg,33180582,58465778,139313247,235719661,219.13,228.54,-9.4,False,1.76,False,,,,,0001104659-26-039513,
GM,0001467858,GM,2021,2025,5,2025,Ms. Barra,29895868,87783000,145356260,234122797,202,149,53.0,True,2.94,False,,,,,0001467858-26-000022,
BNY,0001390777,BNY,2021,2025,5,2025,Robin Vince,83472970,118040693,163021721,232402564,315.84,203.47,112.4,True,1.41,True,S&P 100 Layer A,147.5,LTI_PSU_actual,PRIMARY_VERIFIED,0001193125-26-092500,CEO_TRANSITION
TRV,0000086312,TRV,2021,2025,5,2025,Mr. Schnitzer,26968756,55596018,113684420,232169633,228.51,223.20,5.3,True,2.06,False,,,,,0000086312-26-000103,
PH,0000076334,PH,2021,2025,5,2025,Jennifer A. Parmentier,19317705,45272113,108597330,230182975,408.78,233.00,175.8,True,2.34,False,,,,,0001308179-25-000603,CEO_TRANSITION
TECH,0000842023,TECH,2021,2025,5,2025,,8151181,2471713,79426115,228265242,79.49,103.58,-24.1,False,0.3,False,,,,,0001308179-25-000599,CEO_TRANSITION
COHR,0000820318,COHR,2021,2025,5,2025,James R. Anderson,3722935,34479371,170654207,224797111,188.92,162.71,26.2,True,9.26,False,,,,,0001104659-25-096170,CEO_TRANSITION
CSCO,0000858877,CSCO,2021,2025,5,2025,R. Scott Herren,52838751,94076610,178615744,223427555,172.19,292.59,-120.4,False,1.78,False,,,,,0000858877-25-000150,
